,MONTH,BPS,TRENDS,DELAY0,DELAY1,DELAY2,DELAY3,DELAY4,DELAY5,DELAY6,DELAY7,DELAY8,DELAY9,DELAY10,DELAY11,DELAY12
78,2014-07-01,777210,353,872263.0,892143.0,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0,813967.0,907200.0,877212.0,847728.0
79,2014-08-01,826821,448,1404928.0,872263.0,892143.0,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0,813967.0,907200.0,877212.0
80,2014-09-01,791296,377,994903.0,1404928.0,872263.0,892143.0,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0,813967.0,907200.0
81,2014-10-01,808767,322,725788.0,994903.0,1404928.0,872263.0,892143.0,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0,813967.0
82,2014-11-01,764461,433,1312423.0,725788.0,994903.0,1404928.0,872263.0,892143.0,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0
83,2014-12-01,915334,388,1053808.0,1312423.0,725788.0,994903.0,1404928.0,872263.0,892143.0,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0
84,2015-01-01,724698,457,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0,1404928.0,872263.0,892143.0,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999
85,2015-02-01,794302,385,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0,1404928.0,872263.0,892143.0,927472.0,1103263.0,1092175.0,1270332.0
86,2015-03-01,792804,381,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0,1404928.0,872263.0,892143.0,927472.0,1103263.0,1092175.0
87,2015-04-01,750999,390,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0,1404928.0,872263.0,892143.0,927472.0,1103263.0
88,2015-05-01,794294,411,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0,1404928.0,872263.0,892143.0,927472.0
89,2015-06-01,815307,391,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0,1404928.0,872263.0,892143.0
90,2015-07-01,815351,339,804447.0,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0,1404928.0,872263.0
91,2015-08-01,853244,418,1223068.0,804447.0,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0,1404928.0
92,2015-09-01,870351,352,867328.0,1223068.0,804447.0,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0,994903.0
93,2015-10-01,826196,367,942823.0,867328.0,1223068.0,804447.0,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0,725788.0
94,2015-11-01,777976,371,963487.0,942823.0,867328.0,1223068.0,804447.0,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0,1312423.0
95,2015-12-01,913828,388,1053808.0,963487.0,942823.0,867328.0,1223068.0,804447.0,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002,1053808.0
96,2016-01-01,814303,427,1276303.0,1053808.0,963487.0,942823.0,867328.0,1223068.0,804447.0,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0,1461943.0000000002
97,2016-02-01,888309,393,1081143.0,1276303.0,1053808.0,963487.0,942823.0,867328.0,1223068.0,804447.0,1070167.0,1182447.0,1064700.0,1016127.0,1037575.0
98,2016-03-01,915019,446,1392412.0,1081143.0,1276303.0,1053808.0,963487.0,942823.0,867328.0,1223068.0,804447.0,1070167.0,1182447.0,1064700.0,1016127.0
99,2016-04-01,901095,398,1108828.0,1392412.0,1081143.0,1276303.0,1053808.0,963487.0,942823.0,867328.0,1223068.0,804447.0,1070167.0,1182447.0,1064700.0
100,2016-05-01,915206,421,1240687.0,1108828.0,1392412.0,1081143.0,1276303.0,1053808.0,963487.0,942823.0,867328.0,1223068.0,804447.0,1070167.0,1182447.0
101,2016-06-01,857651,376,989632.0,1240687.0,1108828.0,1392412.0,1081143.0,1276303.0,1053808.0,963487.0,942823.0,867328.0,1223068.0,804447.0,1070167.0
